departamento_id,avg_yield,cv_yield,avg_volatility,failure_rate,cluster,stability_profile
6007,2077.6190476190477,32.30540484362126,665.75,42.857142857142854,0,Low Stability / High Risk
6014,1647.142857142857,30.893234478883908,529.5,66.66666666666666,2,Medium Stability / Structural Underperformance
6021,2869.3809523809523,26.6532131856899,787.45,33.33333333333333,1,High Stability / High Performance
6042,2113.9523809523807,21.020396296326133,339.15,57.14285714285714,2,Medium Stability / Structural Underperformance
6049,2011.7142857142858,20.03249400900346,375.55,28.57142857142857,1,High Stability / High Performance
6056,1038.2,65.32111775280002,980.25,60.0,0,Low Stability / High Risk
6063,2039.7142857142858,18.425999787320137,323.15,57.14285714285714,2,Medium Stability / Structural Underperformance
6070,3008.8,21.629763424799307,704.421052631579,45.0,1,High Stability / High Performance
6077,3113.8947368421054,21.17037481673341,695.2777777777778,36.84210526315789,1,High Stability / High Performance
6084,1968.4761904761904,22.360456812229323,435.95,33.33333333333333,1,High Stability / High Performance
6105,2698.285714285714,16.538666595075384,543.75,52.38095238095239,2,Medium Stability / Structural Underperformance
6112,3053.6666666666665,20.93929922220519,654.9,28.57142857142857,1,High Stability / High Performance
6119,2656.75,20.044119718740713,615.3636363636364,50.0,2,Medium Stability / Structural Underperformance
6126,2998.5555555555557,21.326380246818673,716.0588235294117,33.33333333333333,1,High Stability / High Performance
6134,2851.6666666666665,22.73081559534407,688.7,38.095238095238095,1,High Stability / High Performance
6140,3174.7368421052633,20.873094307427785,707.8333333333334,42.10526315789473,1,High Stability / High Performance
6147,2955.15,23.767261520102217,889.7368421052631,35.0,1,High Stability / High Performance
6154,2735.15,25.828766864963885,935.4736842105264,40.0,1,High Stability / High Performance
6161,3010.875,25.02431078194331,850.6666666666666,43.75,1,High Stability / High Performance
6168,2254.3333333333335,19.625463449442616,437.35,47.61904761904761,2,Medium Stability / Structural Underperformance
6175,3390.8,17.102969303744622,645.5714285714286,26.666666666666668,1,High Stability / High Performance
6182,948.0,91.4454147686619,445.0,40.0,0,Low Stability / High Risk
6189,1402.4761904761904,31.147870017460043,551.6,57.14285714285714,2,Medium Stability / Structural Underperformance
6196,1548.6190476190477,31.96730424609358,457.25,57.14285714285714,2,Medium Stability / Structural Underperformance
6203,2060.9523809523807,25.125281725477333,526.75,47.61904761904761,2,Medium Stability / Structural Underperformance
6210,3184.285714285714,23.76313260379404,797.0,35.714285714285715,1,High Stability / High Performance
6217,2847.0,20.170462946829073,605.55,38.095238095238095,1,High Stability / High Performance
6224,2964.684210526316,24.070055067755995,700.2777777777778,36.84210526315789,1,High Stability / High Performance
6231,2618.095238095238,18.294631113108146,564.85,52.38095238095239,2,Medium Stability / Structural Underperformance
6238,2219.55,16.997151334064007,415.94736842105266,45.0,2,Medium Stability / Structural Underperformance
6266,3110.3333333333335,21.03232058166895,648.2941176470588,38.88888888888889,1,High Stability / High Performance
6277,2790.190476190476,20.732973989345062,569.3,28.57142857142857,1,High Stability / High Performance
6280,2106.3809523809523,17.279588726209774,358.3,47.61904761904761,2,Medium Stability / Structural Underperformance
6287,2453.6190476190477,20.11215973726736,558.25,42.857142857142854,1,High Stability / High Performance
6294,3169.6,19.820648055148503,664.1428571428571,26.666666666666668,1,High Stability / High Performance
6301,2648.904761904762,22.814482864049676,609.6,28.57142857142857,1,High Stability / High Performance
6308,2245.153846153846,19.44317871460087,298.75,46.15384615384615,2,Medium Stability / Structural Underperformance
6315,2654.5238095238096,18.30232381528448,428.25,42.857142857142854,2,Medium Stability / Structural Underperformance
6322,2023.7142857142858,24.809599384450905,540.8,38.095238095238095,2,Medium Stability / Structural Underperformance
6329,2841.6190476190477,23.857243089113528,719.85,42.857142857142854,1,High Stability / High Performance
6336,2540.0,11.700106191658298,250.0,60.0,2,Medium Stability / Structural Underperformance
6343,2697.0,17.558506316272624,558.8181818181819,41.66666666666667,1,High Stability / High Performance
6351,2959.1428571428573,19.047856584359305,514.6,38.095238095238095,1,High Stability / High Performance
6357,2196.190476190476,17.959304699720608,446.75,42.857142857142854,2,Medium Stability / Structural Underperformance
6364,2982.4285714285716,23.054197827597754,778.6,42.857142857142854,1,High Stability / High Performance
6385,3111.3809523809523,17.294011052850784,490.45,47.61904761904761,1,High Stability / High Performance
6392,2865.0,15.987048140221937,503.8,38.095238095238095,1,High Stability / High Performance
6399,2539.2380952380954,21.35837212503979,599.65,52.38095238095239,2,Medium Stability / Structural Underperformance
6406,2650.8571428571427,16.482140109243574,547.4,52.38095238095239,2,Medium Stability / Structural Underperformance
6413,3232.6315789473683,21.323084403491603,668.2222222222222,42.10526315789473,1,High Stability / High Performance
6441,2780.3636363636365,17.8992485755586,588.8,45.45454545454545,1,High Stability / High Performance
6448,1750.7142857142858,31.700724463779366,529.2,57.14285714285714,2,Medium Stability / Structural Underperformance
6455,2652.285714285714,21.568726704244828,603.65,52.38095238095239,2,Medium Stability / Structural Underperformance
6462,3137.809523809524,18.956879942763575,576.1,38.095238095238095,1,High Stability / High Performance
6466,2876.0,13.375037863890189,544.0,50.0,2,Medium Stability / Structural Underperformance
6469,2930.0476190476193,17.126872336523004,556.35,33.33333333333333,1,High Stability / High Performance
6476,1933.904761904762,19.720362695413627,413.75,42.857142857142854,2,Medium Stability / Structural Underperformance
6483,2716.3809523809523,21.607130553030096,575.2,38.095238095238095,1,High Stability / High Performance
6497,2999.8571428571427,22.53403726164201,776.5,42.857142857142854,1,High Stability / High Performance
6505,2830.8333333333335,18.24909457938569,571.8181818181819,41.66666666666667,1,High Stability / High Performance
6511,2351.9523809523807,25.943957145147845,452.9,52.38095238095239,2,Medium Stability / Structural Underperformance
6518,2395.4761904761904,13.255103675556917,315.9,52.38095238095239,2,Medium Stability / Structural Underperformance
6525,2891.0,24.799900783420053,837.2,38.095238095238095,1,High Stability / High Performance
6532,2490.1,29.001317447093534,917.9473684210526,45.0,0,Low Stability / High Risk
6547,2800.5238095238096,20.303831359912166,601.3,38.095238095238095,1,High Stability / High Performance
6574,2828.8571428571427,19.718593328062614,545.45,47.61904761904761,1,High Stability / High Performance
6581,1926.7619047619048,25.513192214604203,603.65,52.38095238095239,2,Medium Stability / Structural Underperformance
6588,3053.35,23.660074478647005,748.3684210526316,35.0,1,High Stability / High Performance
6595,2286.9523809523807,17.45211107493015,401.55,38.095238095238095,2,Medium Stability / Structural Underperformance
6602,1709.8,23.135856727492218,290.55555555555554,40.0,2,Medium Stability / Structural Underperformance
6609,2852.5,23.73749131451619,827.0526315789474,35.0,1,High Stability / High Performance
6616,2488.6190476190477,22.896296109693544,571.55,47.61904761904761,2,Medium Stability / Structural Underperformance
6623,3311.9333333333334,17.731421583560923,701.0714285714286,33.33333333333333,1,High Stability / High Performance
6630,2389.153846153846,17.12152022746768,332.9166666666667,30.76923076923077,1,High Stability / High Performance
6638,2911.5238095238096,25.14736096623104,834.9,38.095238095238095,1,High Stability / High Performance
6651,1453.142857142857,42.177783035020795,589.8,57.14285714285714,0,Low Stability / High Risk
6655,2780.75,19.31129805882877,563.3636363636364,41.66666666666667,1,High Stability / High Performance
6665,3124.75,22.12865354606156,741.9473684210526,30.0,1,High Stability / High Performance
6672,2193.0476190476193,20.67895022708687,441.35,47.61904761904761,2,Medium Stability / Structural Underperformance
6679,2898.7894736842104,22.82044206085801,830.3333333333334,36.84210526315789,1,High Stability / High Performance
6686,3131.076923076923,24.24673877600477,893.75,38.46153846153847,1,High Stability / High Performance
6693,2807.714285714286,21.45119376871286,607.25,42.857142857142854,1,High Stability / High Performance
6700,1761.5238095238096,31.892120297494913,490.0,57.14285714285714,2,Medium Stability / Structural Underperformance
6707,2810.6190476190477,20.671037593274473,590.65,42.857142857142854,1,High Stability / High Performance
6714,3328.25,16.3002214280865,689.3333333333334,37.5,1,High Stability / High Performance
6721,2418.1428571428573,26.30024023070267,545.7,38.095238095238095,1,High Stability / High Performance
6728,3011.3888888888887,26.182457357708177,930.7058823529412,33.33333333333333,1,High Stability / High Performance
6735,3029.2105263157896,22.7403407803977,732.1111111111111,26.31578947368421,1,High Stability / High Performance
6742,1676.904761904762,28.10648528511683,588.05,57.14285714285714,2,Medium Stability / Structural Underperformance
6763,3099.8888888888887,22.851269740497877,756.9411764705883,38.88888888888889,1,High Stability / High Performance
6770,3067.9,22.13861630531319,732.2631578947369,40.0,1,High Stability / High Performance
6778,2805.5,19.74615651320018,643.8181818181819,25.0,1,High Stability / High Performance
6784,2429.35,33.69929606725534,1075.0,45.0,0,Low Stability / High Risk
6791,2129.4285714285716,14.097030919273944,281.65,52.38095238095239,2,Medium Stability / Structural Underperformance
6798,2389.6666666666665,22.538233343523924,526.9,52.38095238095239,2,Medium Stability / Structural Underperformance
6812,2409.0,8.677575425659883,234.44444444444446,40.0,2,Medium Stability / Structural Underperformance
6819,1455.904761904762,38.75135092113627,556.15,47.61904761904761,0,Low Stability / High Risk
6826,2776.3809523809523,24.84206410626164,847.3,42.857142857142854,1,High Stability / High Performance
6833,1827.2857142857142,23.533145560017584,533.3,47.61904761904761,2,Medium Stability / Structural Underperformance
6847,2529.9523809523807,23.30021686439185,641.75,47.61904761904761,2,Medium Stability / Structural Underperformance
6854,2782.4285714285716,22.55586077519071,651.1,33.33333333333333,1,High Stability / High Performance
6875,1752.0,25.286712316998894,322.44444444444446,50.0,2,Medium Stability / Structural Underperformance
6882,3060.222222222222,22.337545173279384,758.7058823529412,38.88888888888889,1,High Stability / High Performance
10042,1370.0,62.51194971040086,1100.0,60.0,0,Low Stability / High Risk
10056,2180.0,24.250940472384464,563.25,47.61904761904761,2,Medium Stability / Structural Underperformance
10098,2417.285714285714,21.29682960981207,534.7,52.38095238095239,2,Medium Stability / Structural Underperformance
14007,2476.3809523809523,19.00430133904952,544.5,42.857142857142854,1,High Stability / High Performance
14014,2552.190476190476,23.132777686437315,568.95,57.14285714285714,2,Medium Stability / Structural Underperformance
14021,2923.6190476190477,20.470028804662206,617.95,42.857142857142854,1,High Stability / High Performance
14028,2406.2,31.07987841999678,894.75,20.0,1,High Stability / High Performance
14035,2798.095238095238,22.256780648835424,626.1,52.38095238095239,2,Medium Stability / Structural Underperformance
14042,2642.8571428571427,26.672297658456433,672.25,38.095238095238095,1,High Stability / High Performance
14049,2424.809523809524,37.18854749025188,676.95,42.857142857142854,0,Low Stability / High Risk
14056,2478.285714285714,22.07056935381297,652.95,47.61904761904761,2,Medium Stability / Structural Underperformance
14063,3372.733333333333,13.799958851085306,386.07142857142856,26.666666666666668,1,High Stability / High Performance
14077,2233.0,31.860061317412818,538.6842105263158,40.0,2,Medium Stability / Structural Underperformance
14084,2948.904761904762,19.00701254430056,617.4,47.61904761904761,1,High Stability / High Performance
14098,2359.8571428571427,22.308570934388193,616.95,42.857142857142854,1,High Stability / High Performance
14105,2783.3333333333335,24.60050749444383,653.45,47.61904761904761,1,High Stability / High Performance
14112,2537.095238095238,32.35701832446355,567.65,38.095238095238095,1,High Stability / High Performance
14119,2671.5714285714284,27.761676305824817,656.15,52.38095238095239,2,Medium Stability / Structural Underperformance
14126,2202.9444444444443,39.698727851427115,777.9411764705883,44.44444444444444,0,Low Stability / High Risk
14133,2751.45,28.89411817280981,581.3157894736842,30.0,1,High Stability / High Performance
14140,2851.7619047619046,22.25600189830212,608.55,47.61904761904761,1,High Stability / High Performance
14147,2538.3333333333335,23.3459502388557,682.6,66.66666666666666,2,Medium Stability / Structural Underperformance
14154,2016.5384615384614,32.18772657907843,481.3333333333333,46.15384615384615,2,Medium Stability / Structural Underperformance
14161,2766.0,21.76884427376711,643.2,47.61904761904761,1,High Stability / High Performance
14168,2790.285714285714,23.874985749116995,560.75,42.857142857142854,1,High Stability / High Performance
14175,2449.190476190476,35.37204844169151,573.0,33.33333333333333,1,High Stability / High Performance
14182,3227.5,17.37993265546207,584.0526315789474,40.0,1,High Stability / High Performance
18000,1726.5,20.514873640015495,269.22222222222223,30.0,2,Medium Stability / Structural Underperformance
18007,1221.2,38.993078369123964,648.25,60.0,0,Low Stability / High Risk
18014,2325.0,23.655913978494624,366.6666666666667,25.0,1,High Stability / High Performance
18028,1991.6666666666667,36.84194862396318,760.0,50.0,0,Low Stability / High Risk
18035,1760.090909090909,36.238655344861705,677.3,54.54545454545454,0,Low Stability / High Risk
18042,1223.2,62.43524059800072,787.25,40.0,0,Low Stability / High Risk
18049,1884.1818181818182,32.08360719288195,605.0,63.63636363636363,2,Medium Stability / Structural Underperformance
18056,1376.5,25.16947254898476,462.6666666666667,50.0,2,Medium Stability / Structural Underperformance
18070,1964.6666666666667,37.26044910786112,687.4,50.0,0,Low Stability / High Risk
18084,1346.4,20.66238194910925,312.75,40.0,2,Medium Stability / Structural Underperformance
18105,1954.909090909091,35.505696684313634,448.0,54.54545454545454,2,Medium Stability / Structural Underperformance
18112,1327.0,26.362719942116502,445.6666666666667,50.0,2,Medium Stability / Structural Underperformance
18119,1569.5,23.53972005447278,481.3333333333333,50.0,2,Medium Stability / Structural Underperformance
18126,1754.4545454545455,47.551819473297094,736.9,54.54545454545454,0,Low Stability / High Risk
18154,1942.857142857143,52.22486536948121,850.0,42.857142857142854,0,Low Stability / High Risk
18161,1837.8181818181818,35.89388153480417,628.1,63.63636363636363,0,Low Stability / High Risk
18168,1670.75,22.098314974110753,504.3333333333333,25.0,1,High Stability / High Performance
18175,1965.3636363636363,32.92740012307364,717.9,45.45454545454545,0,Low Stability / High Risk
22007,2095.095238095238,37.58552744441735,767.85,42.857142857142854,0,Low Stability / High Risk
22014,1825.5,27.405553075179267,596.5454545454545,33.33333333333333,1,High Stability / High Performance
22021,1613.857142857143,42.87866848888827,671.8,52.38095238095239,0,Low Stability / High Risk
22028,2048.6190476190477,30.699110309097406,734.55,47.61904761904761,0,Low Stability / High Risk
22036,2105.5714285714284,30.869773016905683,733.9,42.857142857142854,0,Low Stability / High Risk
